State,Assembly,Candidate,Party,Votes
Haryana,Bhiwani-Mahendragarh,SUDHIR CHANDWAS,Independent,  523 
Haryana,Bhiwani-Mahendragarh,MAHAVIR SINGH,Independent,  393 
Haryana,Bhiwani-Mahendragarh,SAMSER,National Loktantrik Party,  391 
Haryana,Bhiwani-Mahendragarh,SHER SINGH,Independent,  361 
Haryana,Bhiwani-Mahendragarh,SATPAL S/O LOKRAM,Independent,  297 
Haryana,Bhiwani-Mahendragarh,RAKESH KUMAR,Independent,  293 
Haryana,Bhiwani-Mahendragarh,SUKHBIR SINGH,Independent,  275 
Haryana,Bhiwani-Mahendragarh,None of the Above,None of the Above,"  1,994 "
Haryana,Faridabad,KRISHAN PAL,Bharatiya Janata Party,"  652,516 "
Haryana,Faridabad,AVTAR SINGH BHADANA,Indian National Congress,"  185,643 "
Haryana,Faridabad,R K ANAND,Indian National Lok Dal,"  132,472 "
Haryana,Faridabad,PURSHOTAM DAGAR,Aam Aadmi Party,"  67,437 "
Haryana,Faridabad,PT. RAJENDER SHARMA,Bahujan Samaj Party,"  66,000 "
Haryana,Faridabad,HAMID KHAN,Hindustan Kranti Dal,"  2,762 "
Haryana,Faridabad,NANAK CHAND,Independent,"  2,551 "
Haryana,Faridabad,DR. KSHETRA PAL SINGH,Independent,"  1,943 "
Haryana,Faridabad,KHEME THAKUR,Samajwadi Party,"  1,940 "
Haryana,Faridabad,MOHD. MUKIM,National Loktantrik Party,"  1,735 "
Haryana,Faridabad,RAVINDER BHATI,Akhil Bharat Hindu Mahasabha,"  1,689 "
Haryana,Faridabad,SANJAY MAURYA,Independent,"  1,098 "
Haryana,Faridabad,SUKHVEER,Rashtriya Bahujan Congress Party,"  1,082 "
Haryana,Faridabad,ADVOCATE KAMAL CHAND ARYA,Bahujan Mukti Party,  967 
Haryana,Faridabad,NIRMALA,Janata Dal (United),  894 
Haryana,Faridabad,CHAUDHARY DAYA CHAND,Bhartiya Shakti Chetna Party,  711 
Haryana,Faridabad,KHUSH DIL SEHGAL (KAPOOR),Akhil Bharatiya Hind Kranti Party,  685 
Haryana,Faridabad,AHERWAN DHARMENDER RAWAT,Independent,  664 
Haryana,Faridabad,LAXMAN,Independent,  657 
Haryana,Faridabad,MANDHEER SINGH MAAN,Independent,  644 
Haryana,Faridabad,KUSUM KUMARI,All India Peoples' Front (Radical),  620 
Haryana,Faridabad,SHUSHILA,Independent,  525 
Haryana,Faridabad,DEEPAK GAUR,AARAKSHAN VIRODHI PARTY,  479 
Haryana,Faridabad,MUKESH KUMAR SINGH,Independent,  442 
Haryana,Faridabad,LALIT MITTAL,Independent,  420 
Haryana,Faridabad,RAJENDER,Independent,  409 
Haryana,Faridabad,VIJAY RAJ,Independent,  407 
Haryana,Faridabad,None of the Above,None of the Above,"  3,334 "
Haryana,Gurgaon,INDERJIT SINGH RAO,Bharatiya Janata Party,"  644,780 "
Haryana,Gurgaon,ZAKIR HUSSAIN,Indian National Lok Dal,"  370,058 "
Haryana,Gurgaon,RAO DHARAM PAL,Indian National Congress,"  133,713 "
Haryana,Gurgaon,YOGENDRA YADAV,Aam Aadmi Party,"  79,452 "
Haryana,Gurgaon,DHARAMPAL,Bahujan Samaj Party,"  65,009 "
Haryana,Gurgaon,KUSHESHWAR BHAGAT,Independent,"  7,821 "
Haryana,Gurgaon,FAUJI JAI KAWAR TYAGI DIXIT,Independent,"  3,147 "
Haryana,Gurgaon,MANOJ YADAV,Independent,"  3,043 "
Haryana,Gurgaon,AKBAR KASMI,Rashtriya Ulama Council,"  1,429 "
Haryana,Gurgaon,HEMANT KUMAR SAINI,Bahujan Mukti Party,"  1,153 "
Haryana,Gurgaon,MAHENDER JAT,Independent,"  1,021 "
Haryana,Gurgaon,KARAN SINGH JOURNALIST,Independent,  938 
Haryana,Gurgaon,UMED SINGH,RASHTRIYA MORCHA PARTY,  927 
Haryana,Gurgaon,MUL CHAND,Independent,  804 
Haryana,Gurgaon,ASHOK BHARDWAJ,National Janhit Congress (AB),  713 
Haryana,Gurgaon,ABDUL LATIF,Independent,  699 
Haryana,Gurgaon,SURINDER KUMAR KHULLAR,Independent,  686 
Haryana,Gurgaon,RAJESH,Independent,  566 
Haryana,Gurgaon,OMBIR SHARMA,Independent,  566 
Haryana,Gurgaon,RAJEEV YADAV,Independent,  493 
Haryana,Gurgaon,USHA RANI VERMA,Independent,  489 
Haryana,Gurgaon,AHSHAN ALI,Independent,  455 
Haryana,Gurgaon,None of the Above,None of the Above,"  2,657 "
Haryana,Hisar,DUSHYANT CHAUTALA,Indian National Lok Dal,"  494,478 "
Haryana,Hisar,KULDEEP BISHNOI,Haryana Janhit Congress (BL),"  462,631 "
Haryana,Hisar,SAMPAT SINGH,Indian National Congress,"  102,509 "
Haryana,Hisar,MANGE RAM,Bahujan Samaj Party,"  30,446 "
Haryana,Hisar,DR. YUDHBIR SINGH KHYALIA,Aam Aadmi Party,"  28,490 "
Haryana,Hisar,PHUL SINGH,Communist Party of India (Marxist),"  6,533 "
Haryana,Hisar,KULDEEP S/O NARAIN SINGH,Independent,"  5,251 "
Haryana,Hisar,KULDEEP S/O PARDUMN,Independent,"  2,587 "
Haryana,Hisar,KULDEEP S/O KARAN SINGH,Independent,"  1,886 "
Haryana,Hisar,VIJAY KUMAR SHARMA,Independent,"  1,788 "
Haryana,Hisar,DR. RAJESH MAHENDIA,Independent,"  1,723 "
Haryana,Hisar,OM PARKASH,Bharatiya Sant Mat Party,"  1,471 "
Haryana,Hisar,KULDEEP S/O ISHWAR SINGH,Independent,"  1,242 "
Haryana,Hisar,MAMTA RANI,"Rashtrawadi Parivartan Party (L.B,)","  1,195 "
Haryana,Hisar,KARTAR SINGH,Independent,"  1,143 "
Haryana,Hisar,VISHNU KUMAR,Independent,"  1,048 "
Haryana,Hisar,KULDEEP S/O MADAN LAL,Independent,  959 
Haryana,Hisar,KULDEEP SINGH S/O SHISHPAL,Bahujan Mukti Party,  705 
Haryana,Hisar,SUSHIL KAUSHIK,Independent,  700 
Haryana,Hisar,VIKAS,Independent,  684 
Haryana,Hisar,RAJ SINGH,Independent,  600 
Haryana,Hisar,NARESH BATRA,Independent,  587 
Haryana,Hisar,RAM PHAL,Independent,  463 
Haryana,Hisar,SHIV KUMAR,Independent,  447 
Haryana,Hisar,NARENDER,Independent,  408 
Haryana,Hisar,KULDEEP S/O SAJJAN,Independent,  395 
Haryana,Hisar,NARINDER KUMAR,Independent,  388 
Haryana,Hisar,SHRAVAN KUMAR ASIJA,Independent,  371 
Haryana,Hisar,SATBIR,Independent,  363 
Haryana,Hisar,UMED SINGH,Independent,  342 
Haryana,Hisar,ARUN KUMAR,Independent,  307 
Haryana,Hisar,ATAM PARKASH,Independent,  300 
Haryana,Hisar,SUSHIL NIDHI,Independent,  273 
Haryana,Hisar,RAJ KUMAR,Independent,  255 
Haryana,Hisar,HANSRAJ,Independent,  245 
Haryana,Hisar,BALWAN SINGH,Independent,  213 
Haryana,Hisar,BALJEET,Independent,  208 
Haryana,Hisar,YUDHVIR,Independent,  197 
Haryana,Hisar,RAKESH KUMAR (RINKU BHAI),Independent,  176 
Haryana,Hisar,SUNDER,Independent,  134 
Haryana,Hisar,SITA RAM,Independent,  128 
Haryana,Hisar,None of the Above,None of the Above,"  1,645 "
Haryana,Karnal,ASHWINI KUMAR,Bharatiya Janata Party,"  594,817 "
Haryana,Karnal,ARVIND KUMAR SHARMA,Indian National Congress,"  234,670 "
Haryana,Karnal,JASWINDER SINGH SANDHU,Indian National Lok Dal,"  187,902 "
Haryana,Karnal,MARATHA VIRENDER VERMA,Bahujan Samaj Party,"  102,628 "
Haryana,Karnal,PARAMJIT SINGH,Aam Aadmi Party,"  32,060 "
Haryana,Karnal,MAM CHAND,Communist Party of India,"  10,945 "
Haryana,Karnal,JAGDISH,Independent,"  3,442 "
Haryana,Karnal,JAGBIR SINGH RANA,Independent,"  2,775 "
Haryana,Karnal,MAHMOOD HASSAN,Independent,"  2,723 "
Haryana,Karnal,PALE RAM KASHYAP,Rashtriya Janshakti Party(Eklavya),"  2,654 "
Haryana,Karnal,RAJESH KUMAR,Independent,"  1,937 "
Haryana,Karnal,KISMAT SHARMA,Independent,"  1,757 "
Haryana,Karnal,SHASHI SAINI,Independent,"  1,544 "
Haryana,Karnal,SAVITRI,Independent,"  1,468 "
Haryana,Karnal,ASHISH,All India Forward Bloc,"  1,314 "
Haryana,Karnal,MAHINDER PAL,Independent,"  1,276 "
Haryana,Karnal,ARVIND TIWARI,Independent,"  1,260 "
Haryana,Karnal,DULI CHAND,Lok Parivartan Party(DC),"  1,144 "
Haryana,Karnal,RAMPHAL SHARMA,Independent,  940 
Haryana,Karnal,KHATAB SINGH MOR,Bhartiya Shakti Chetna Party,  885 
Haryana,Karnal,PURAN SINGH PANWAR,Rashtravadi Janata Party,  865 
Haryana,Karnal,DAVINDER SHARMA,Rashtriya Karmyog Party,  806 
Haryana,Karnal,DEVENDER JAGLAN,Republican Party of India (A),  759 
Haryana,Karnal,None of the Above,None of the Above,"  2,929 "
Haryana,Kurukshetra,RAJ KUMAR SAINI,Bharatiya Janata Party,"  418,112 "
Haryana,Kurukshetra,BALBIR SINGH SAINI,Indian National Lok Dal,"  288,376 "
Haryana,Kurukshetra,NAVEEN JINDAL,Indian National Congress,"  287,722 "
Haryana,Kurukshetra,CHATTAR SINGH,Bahujan Samaj Party,"  68,926 "
Haryana,Kurukshetra,BALWINDER KAUR,Aam Aadmi Party,"  32,554 "
Haryana,Kurukshetra,RAJ KUMAR SAINI,Independent,"  6,061 "
Haryana,Kurukshetra,JASVINDER JASHT BHUKHRI,Independent,"  3,887 "
Haryana,Kurukshetra,ASHWANI MALHOTRA,All India Trinamool Congress,"  3,251 "
Haryana,Kurukshetra,CHUNI MANOJ KUMAR,Independent,"  2,770 "
Haryana,Kurukshetra,RANBIR SINGH SHARMA,Independent,"  2,765 "
Haryana,Kurukshetra,RAMESHWAR KUMAR SAINI,Bhartiya Shakti Chetna Party,"  2,344 "
Haryana,Kurukshetra,VISHNU BHAGWAN AGGARWAL,Independent,"  2,083 "
Haryana,Kurukshetra,DAVINDER KUMAR,Independent,"  2,041 "
Haryana,Kurukshetra,MASTER DHARAMPAL DHIMAN BRAHAMAN,Independent,"  1,994 "
Haryana,Kurukshetra,KULDEEP SINGH MALLHI,Republican Party of India,"  1,665 "
Haryana,Kurukshetra,RAM KISHAN,Lok Parivartan Party(DC),"  1,635 "
Haryana,Kurukshetra,ANIL KUMAR,Independent,"  1,593 "
Haryana,Kurukshetra,KANTA ALLARIA,Indian Bahujan Sandesh Party (Kanshiram),"  1,534 "
Haryana,Kurukshetra,ONKAR SINGH,National Janhit Congress (AB),"  1,483 "
Haryana,Kurukshetra,GURMEET SINGH,Lok Dal,"  1,092 "
Haryana,Kurukshetra,KIRAN PAL,Bharatiya Inqalab Party,  762 
Haryana,Kurukshetra,CA. SATISH SINGAL,Independent,  760 
Haryana,Kurukshetra,None of the Above,None of the Above,"  2,482 "
Haryana,Rohtak,DEEPENDER SINGH HOODA,Indian National Congress,"  490,063 "
Haryana,Rohtak,OM PARKASH DHANKAR,Bharatiya Janata Party,"  319,436 "
Haryana,Rohtak,SHAMSHER SINGH KHARKARA,Indian National Lok Dal,"  151,120 "
Haryana,Rohtak,NAVEEN JAIHIND,Aam Aadmi Party,"  46,759 "
Haryana,Rohtak,MANOJ KUMAR,Bahujan Samaj Party,"  18,690 "
Haryana,Rohtak,VISHNU DUTT,Independent,"  3,151 "
Haryana,Rohtak,JAI KARAN MANDAUTHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),"  2,497 "
Haryana,Rohtak,SATPAL,Independent,"  2,449 "
Haryana,Rohtak,SAJJAN SINGH,Independent,"  2,032 "
Haryana,Rohtak,SUNIL KUMAR,All India Trinamool Congress,  947 
Haryana,Rohtak,ANIL,Rashtriya Bahujan Hitay Party,  829 
Haryana,Rohtak,JAI SINGH,Independent,  614 
Haryana,Rohtak,RAVINDER KUMAR,Indian Bahujan Sandesh Party (Kanshiram),  418 
Haryana,Rohtak,KARAN SINGH,Independent,  394 
Haryana,Rohtak,None of the Above,None of the Above,"  4,932 "
Haryana,Sirsa,CHARANJEET SINGH RORI,Indian National Lok Dal,"  506,370 "
Haryana,Sirsa,ASHOK TANWAR,Indian National Congress,"  390,634 "
Haryana,Sirsa,DR. SUSHIL INDORA,Haryana Janhit Congress (BL),"  241,067 "
Haryana,Sirsa,POONAM CHAND RATTI,Aam Aadmi Party,"  66,844 "
Haryana,Sirsa,MANGERAM,Bahujan Samaj Party,"  20,750 "
Haryana,Sirsa,COMRADE RAM KUMAR,Communist Party of India (Marxist),"  11,194 "
Haryana,Sirsa,RANVIR KHOBRA,Independent,"  7,308 "
Haryana,Sirsa,RAJBIR PALNA,Independent,"  5,636 "
Haryana,Sirsa,RAJ KUMAR NAGAR,Samajwadi Party,"  4,208 "
Haryana,Sirsa,MEWA SINGH,Independent,"  4,136 "
Haryana,Sirsa,SURENDER KUMAR (URF) MENPAL PHOOLA,Independent,"  3,432 "
Haryana,Sirsa,HANSRAJ HANSA,Jan Morcha,"  2,901 "
Haryana,Sirsa,SANJIV BHOJRAJ,VANCHITSAMAJ INSAAF PARTY,"  2,350 "
Haryana,Sirsa,BALWANT SINGH,Bharatiya Sant Mat Party,"  2,201 "
Haryana,Sirsa,JAGDISH,Independent,"  2,145 "
Haryana,Sirsa,JAIPAL BHATTI,Independent,"  1,365 "
Haryana,Sirsa,MANJEET SINGH,Independent,"  1,334 "
Haryana,Sirsa,FAKIR CHAND,Independent,"  1,197 "
Haryana,Sirsa,None of the Above,None of the Above,"  4,033 "
Haryana,Sonipat,RAMESH CHANDER,Bharatiya Janata Party,"  347,203 "
Haryana,Sonipat,JAGBIR SINGH MALIK,Indian National Congress,"  269,789 "
Haryana,Sonipat,PADAM SINGH,Indian National Lok Dal,"  264,404 "
Haryana,Sonipat,JAI SINGH,Aam Aadmi Party,"  48,597 "
Haryana,Sonipat,SUMAN SINGH,Bahujan Samaj Party,"  24,103 "
Haryana,Sonipat,SUKHBIR SINGH,Independent,"  5,533 "
Haryana,Sonipat,RAMESH,Independent,"  4,405 "
Haryana,Sonipat,SANJAY,Independent,"  3,950 "
Haryana,Sonipat,BHUPESHWAR DAYAL,Independent,"  2,525 "
Haryana,Sonipat,MANOJ KUMAR,Independent,"  2,417 "
Haryana,Sonipat,HARI PARKASH COMRADE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),"  1,757 "
Haryana,Sonipat,PADAM SINGH,Independent,"  1,375 "
Haryana,Sonipat,BIJENDER KUMAR,Independent,  965 
Haryana,Sonipat,SANT DHARAMVIR CHOTIWALA,Independent,  943 
Haryana,Sonipat,GULAB SINGH,Poorvanchal Rashtriya Congress,  916 
Haryana,Sonipat,SITENDER SINGH,Independent,  899 
Haryana,Sonipat,DALBIR SINGH CHAHAL,Rashtravadi Janata Party,  671 
Haryana,Sonipat,JASWANT,Independent,  656 
Haryana,Sonipat,SATYA NARAYAN,Independent,  550 
Haryana,Sonipat,ASHOK KUMAR VASHISHTH,Republican Party of India (A),  492 
Haryana,Sonipat,ANIL KUMAR,Rashtriya Bahujan Hitay Party,  468 
Haryana,Sonipat,JAGBIR,Independent,  357 
Haryana,Sonipat,ANUP SING DAHIYA,Rashtriya Jatigat Aarakshan Virodhi Party,  259 
Haryana,Sonipat,None of the Above,None of the Above,"  2,403 "
Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,Bharatiya Janata Party,"  448,035 "
Himachal Pradesh,Hamirpur,RAJINDER SINGH RANA,Indian National Congress,"  349,632 "
Himachal Pradesh,Hamirpur,KAMAL KANTA BATRA,Aam Aadmi Party,"  15,329 "
Himachal Pradesh,Hamirpur,RAKESH CHOUDHARY,Bahujan Samaj Party,"  5,827 "
Himachal Pradesh,Hamirpur,RAJINDER SINGH RANA,Independent,"  3,687 "
Himachal Pradesh,Hamirpur,URMILA SHARMA,Samajwadi Party,"  2,328 "
Himachal Pradesh,Hamirpur,DEV RAJ BHARDWAJ,Independent,"  1,692 "
Himachal Pradesh,Hamirpur,SHIV DUTT VASISHT,Shivsena,  952 
Himachal Pradesh,Hamirpur,AMIN CHAND,Independent,  647 
Himachal Pradesh,Hamirpur,ASHISH KUMAR,Independent,  603 
Himachal Pradesh,Hamirpur,None of the Above,None of the Above,"  6,473 "
Himachal Pradesh,Kangra,SHANTA KUMAR,Bharatiya Janata Party,"  456,163 "
Himachal Pradesh,Kangra,CHANDER KUMAR,Indian National Congress,"  286,091 "
Himachal Pradesh,Kangra,DR. RAJAN SUSHANT,Aam Aadmi Party,"  24,430 "
Himachal Pradesh,Kangra,LAL HUSSAIN,Bahujan Samaj Party,"  5,949 "
Himachal Pradesh,Kangra,BHUPINDER MEHRA,Independent,"  5,585 "
Himachal Pradesh,Kangra,PREM CHAND VISHVAKARMA,Independent,"  4,106 "
Himachal Pradesh,Kangra,ARTI SONI,Shivsena,"  3,757 "
Himachal Pradesh,Kangra,DR. ATUL THAKUR BHARMORI,Independent,"  1,133 "
Himachal Pradesh,Kangra,DHANI RAM,Independent,"  1,085 "
Himachal Pradesh,Kangra,BALDEV RAJ,Himachal Swabhiman Party,  997 
Himachal Pradesh,Kangra,PARVESH YADAV,Samajwadi Party,  808 
Himachal Pradesh,Kangra,RAMAN KUMAR,Bahujan Mukti Party,  637 
Himachal Pradesh,Kangra,None of the Above,None of the Above,"  8,704 "
Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,Bharatiya Janata Party,"  362,824 "
Himachal Pradesh,Mandi,PRATIBHA SINGH,Indian National Congress,"  322,968 "
Himachal Pradesh,Mandi,KUSHAL BHARDWAJ,Communist Party of India (Marxist),"  13,965 "
Himachal Pradesh,Mandi,JAI CHAND THAKUR,Aam Aadmi Party,"  9,359 "
Himachal Pradesh,Mandi,LALA RAM,Bahujan Samaj Party,"  5,167 "
Himachal Pradesh,Mandi,SUBHASH MOHAN SNEHI,Independent,"  1,928 "
Himachal Pradesh,Mandi,BHAG CHAND RANA,Independent,"  1,868 "
Himachal Pradesh,Mandi,PUNI CHAND,Samajwadi Party,  923 
Himachal Pradesh,Mandi,DEVENDER DEV,Bahujan Mukti Party,  901 
Himachal Pradesh,Mandi,None of the Above,None of the Above,"  6,191 "
Himachal Pradesh,Shimla,VIRENDER KASHYAP,Bharatiya Janata Party,"  385,973 "
Himachal Pradesh,Shimla,MOHAN LAL BRAKTA,Indian National Congress,"  301,786 "
Himachal Pradesh,Shimla,SUBHASH CHANDER,Aam Aadmi Party,"  14,233 "
Himachal Pradesh,Shimla,JAGAT RAM,Communist Party of India (Marxist),"  11,434 "
Himachal Pradesh,Shimla,VIRENDER KUMAR KASHYAP,Independent,"  6,173 "
Himachal Pradesh,Shimla,GURNAM SINGH KOLI,Bahujan Samaj Party,"  5,985 "
Himachal Pradesh,Shimla,SHURVEER SINGH,Samajwadi Party,"  4,385 "
Himachal Pradesh,Shimla,None of the Above,None of the Above,"  7,788 "
Jammu & Kashmir,Anantnag,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,"  200,429 "
Jammu & Kashmir,Anantnag,MIRZA MEHBOOB BEG,Jammu & Kashmir National Conference,"  135,012 "
Jammu & Kashmir,Anantnag,TANVEER HUSSAIN KHAN,Independent,"  7,340 "
Jammu & Kashmir,Anantnag,MUSHTAQ AHMAD MALIK,Bharatiya Janata Party,"  4,720 "
Jammu & Kashmir,Anantnag,SYED ABID AHMAD SHAH,Jammu & Kashmir National Panthers Party,"  4,345 "
Jammu & Kashmir,Anantnag,ABDUL AHAD MIR,Independent,"  3,439 "
Jammu & Kashmir,Anantnag,MOHAMMAD SHARIF,Bahujan Samaj Party,"  3,312 "
Jammu & Kashmir,Anantnag,MOHD YOUSIF GANIE,Ambedkar Samaj Party,"  3,286 "
Jammu & Kashmir,Anantnag,DR. TANVIR MAQBOOL DAR,Aam Aadmi Party,"  3,252 "
Jammu & Kashmir,Anantnag,GH. NABI SHAH,Samajwadi Party,"  1,837 "
Jammu & Kashmir,Anantnag,MOHAMMAD YAQOOB RATHER,All Jammu and Kashmir Republican Party,"  1,568 "
Jammu & Kashmir,Anantnag,ASIF JEELANI,All India Forward Bloc,  803 
Jammu & Kashmir,Anantnag,None of the Above,None of the Above,"  5,936 "
Jammu & Kashmir,Baramulla,MUZAFFAR HUSSAIN BAIG,Jammu & Kashmir Peoples Democratic Party,"  175,277 "
Jammu & Kashmir,Baramulla,SHARIEF UD-DIN SHARIQ,Jammu & Kashmir National Conference,"  146,058 "
Jammu & Kashmir,Baramulla,SALAMUDDIN BAJAD,Jammu & Kashmir People Conference,"  71,154 "
Jammu & Kashmir,Baramulla,ER. ABDUL RASHID SHEIKH,Independent,"  22,090 "
Jammu & Kashmir,Baramulla,ABDUL HUSSAIN,Independent,"  7,301 "
Jammu & Kashmir,Baramulla,GHULAM MOHAMMAD MIR,Bharatiya Janata Party,"  6,558 "
Jammu & Kashmir,Baramulla,TANVEER HUSSAIN,Independent,"  5,788 "
Jammu & Kashmir,Baramulla,AYAZ AHMAD SOFI,Gareeb Aadmi Party,"  5,566 "
Jammu & Kashmir,Baramulla,SYED MOHD RAFIQ SHAH,Jammu & Kashmir National Panthers Party,"  4,141 "
Jammu & Kashmir,Baramulla,MOHD ABDULLAH CHATWAL,Independent,"  4,006 "
Jammu & Kashmir,Baramulla,AB. HAMID MALIK,Independent,"  3,655 "
Jammu & Kashmir,Baramulla,MOHD SHAFI BHAT,Bahujan Samaj Party,"  3,143 "
Jammu & Kashmir,Baramulla,BASHIR AHMAD JAGAL,Prism,"  2,694 "
Jammu & Kashmir,Baramulla,NISAR AHMAD AHANGER,Independent,"  2,050 "
Jammu & Kashmir,Baramulla,ASHIQ HUSSAIN GANIE,Independent,"  1,943 "
Jammu & Kashmir,Baramulla,None of the Above,None of the Above,"  4,568 "
Jammu & Kashmir,Jammu,JUGAL KISHORE,Bharatiya Janata Party,"  619,995 "
Jammu & Kashmir,Jammu,MADAN LAL SHARMA,Indian National Congress,"  362,715 "
Jammu & Kashmir,Jammu,YASHPAL SHARMA,Jammu & Kashmir Peoples Democratic Party,"  168,554 "
Jammu & Kashmir,Jammu,ASHOK KUMAR,Bahujan Samaj Party,"  31,199 "
Jammu & Kashmir,Jammu,HARI CHAND JALMERIA,Jammu & Kashmir National Panthers Party,"  9,071 "
Jammu & Kashmir,Jammu,MOHD. IMTIAZ,Independent,"  7,423 "
Jammu & Kashmir,Jammu,PERSEEN SINGH,Independent,"  7,173 "
Jammu & Kashmir,Jammu,GURSAGAR SINGH,Socialistic Democratic Party,"  6,042 "
Jammu & Kashmir,Jammu,NIRMAL SINGH,Independent,"  5,286 "
Jammu & Kashmir,Jammu,VIJAY KUMAR,Independent,"  5,125 "
Jammu & Kashmir,Jammu,LABHA RAM,Independent,"  5,046 "
Jammu & Kashmir,Jammu,ABDUL MAJID CHOUHAN,Independent,"  4,177 "
Jammu & Kashmir,Jammu,BAHADUR SINGH CHOWDHARY,Samajwadi Party,"  3,164 "
Jammu & Kashmir,Jammu,RAJ KUMAR,Independent,"  2,991 "
Jammu & Kashmir,Jammu,ASHOK KUMAR SHARMA,Independent,"  2,582 "
Jammu & Kashmir,Jammu,MOHD. ABBAS KHAN,Independent,"  2,469 "
Jammu & Kashmir,Jammu,SUBASH CHANDER,All J & K Kisan Majdoor Party,"  2,205 "
Jammu & Kashmir,Jammu,MEHAR MANAV BHAGAT,Bharatiya Bahujan Party,"  2,013 "
Jammu & Kashmir,Jammu,SATISH POONCHI,Independent,"  1,981 "
Jammu & Kashmir,Jammu,None of the Above,None of the Above,"  4,382 "
Jammu & Kashmir,Ladakh,THUPSTAN CHHEWANG,Bharatiya Janata Party,"  31,111 "
Jammu & Kashmir,Ladakh,GHULAM RAZA,Independent,"  31,075 "
Jammu & Kashmir,Ladakh,SYED MOHD KAZIM,Independent,"  28,234 "
Jammu & Kashmir,Ladakh,TSERING SAMPHEL,Indian National Congress,"  26,402 "
Jammu & Kashmir,Ladakh,None of the Above,None of the Above,"  1,207 "
Jammu & Kashmir,Srinagar,TARIQ HAMEED KARRA,Jammu & Kashmir Peoples Democratic Party,"  157,923 "
Jammu & Kashmir,Srinagar,FAROOQ ABDULLAH,Jammu & Kashmir National Conference,"  115,643 "
Jammu & Kashmir,Srinagar,AGA SYED MOHSIN,Independent,"  16,050 "
Jammu & Kashmir,Srinagar,FAYAZ AHMAD BHAT,Bharatiya Janata Party,"  4,467 "
Jammu & Kashmir,Srinagar,DR RAJA MUZAFFAR BHAT,Aam Aadmi Party,"  3,271 "
Jammu & Kashmir,Srinagar,MIRZA SAJAD HUSSAIN BEIGH,Independent,"  2,802 "
Jammu & Kashmir,Srinagar,ABDUL RASHID TANTRAY,Independent,"  1,668 "
Jammu & Kashmir,Srinagar,BASHIR MOHD RESHI,Independent,"  1,215 "
Jammu & Kashmir,Srinagar,MOHAMMAD SHAFI GUROO,Independent,"  1,157 "
Jammu & Kashmir,Srinagar,RABIA ALTAF,Independent,  864 
Jammu & Kashmir,Srinagar,CHETAN SHARMA,Independent,  608 
Jammu & Kashmir,Srinagar,MOHAMMAD MAQBOOL MALIK,Jammu & Kashmir National Panthers Party,  583 
Jammu & Kashmir,Srinagar,MUSHTAQ SHAMIM,Akhil Bharatiya Muslim League (Secular),  521 
Jammu & Kashmir,Srinagar,RIYAZ AHMAD WANI,Independent,  461 
Jammu & Kashmir,Srinagar,None of the Above,None of the Above,"  4,979 "
Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,Bharatiya Janata Party,"  487,369 "
Jammu & Kashmir,Udhampur,GHULAM NABI AZAD,Indian National Congress,"  426,393 "
Jammu & Kashmir,Udhampur,MOHD ARSHAD MALIK,Jammu & Kashmir Peoples Democratic Party,"  30,461 "
Jammu & Kashmir,Udhampur,PROF. BHIM SINGH,Jammu & Kashmir National Panthers Party,"  25,312 "
Jammu & Kashmir,Udhampur,DHARAM PAL BALGOTRA,Bahujan Samaj Party,"  16,437 "
Jammu & Kashmir,Udhampur,ANIL KHAJURIA,Independent,"  15,188 "
Jammu & Kashmir,Udhampur,NAZAKAT HUSSAIN,Independent,"  9,217 "
Jammu & Kashmir,Udhampur,BANSI LAL,Independent,"  7,339 "
Jammu & Kashmir,Udhampur,ANIL KUMAR GUPTA,Independent,"  5,755 "
Jammu & Kashmir,Udhampur,SHAM LAL,All J & K Kisan Majdoor Party,"  2,187 "
Jammu & Kashmir,Udhampur,GIRDHARI LAL,Bharatiya Bahujan Party,"  1,971 "
Jammu & Kashmir,Udhampur,SMT. AMRIT BARSHA,Samajwadi Party,"  1,842 "
Jammu & Kashmir,Udhampur,JAGDISH KUMAR,Jai Maha Bharath Party,"  1,809 "
Jammu & Kashmir,Udhampur,None of the Above,None of the Above,"  10,478 "
Jharkhand,Chatra,SUNIL KUMAR SINGH,Bharatiya Janata Party,"  295,862 "
Jharkhand,Chatra,DHIRAJ PRASAD SAHU,Indian National Congress,"  117,836 "
Jharkhand,Chatra,NILAM DEVI,Jharkhand Vikas Morcha (Prajatantrik),"  104,176 "
Jharkhand,Chatra,NAGMANI,AJSU Party,"  35,674 "
Jharkhand,Chatra,KESHWAR YADAV,Samajwadi Party,"  29,754 "
Jharkhand,Chatra,BANWARI SAW,Communist Party of India,"  21,261 "
Jharkhand,Chatra,SIMA CHANDRAVANSI,Aam Aadmi Party,"  17,980 "
Jharkhand,Chatra,HAJI JAINUL ABEDIN,Bahujan Samaj Party,"  14,929 "
Jharkhand,Chatra,RAJ KUMAR PAHAN,Rashtriya Deshaj Party,"  10,771 "
Jharkhand,Chatra,RAMNARESH SINGH,Communist Party of India (Marxist-Leninist) (Liberation),"  8,341 "
